CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CROWN_FIRE_MODEL,CC,CBH,CBD,CH,Run Number
0.2,0.7,.TRUE.,0.2,0.4,2308.0,'LOGNORMAL',57.0,135.0,2.0,2.0,0.3,0.6,0.3,0.6,1,1,1,77.0,79.0,inputs,7.8,-21.5,0,0.09,-3.79,0.09,3.78,58
0.3,0.4,.TRUE.,0.2,0.4,1642.0,'LOGNORMAL',123.0,182.0,2.0,2.0,0.2,0.3,0.1,0.7,1,1,2,44.0,56.0,inputs,2.3,269.1,0,0.05,-2.58,-0.09,2.3,59
0.2,0.5,.TRUE.,0.3,0.4,338.0,'LOGNORMAL',23.0,171.0,2.0,3.0,0.6,0.6,0.5,0.6,1,1,2,66.0,70.0,inputs,17.1,-351.5,1,-0.07,-4.39,-4.11,-0.03,62
0.5,0.6,.TRUE.,0.2,0.3,1080.0,'LOGNORMAL',13.0,42.0,1.0,3.0,0.1,0.7,0.2,0.2,1,1,2,90.0,92.0,inputs,14.9,93.1,1,0.02,1.93,-0.07,6.15,64
0.6,0.7,.TRUE.,0.3,0.5,2640.0,'LOGNORMAL',101.0,188.0,2.0,3.0,0.2,0.4,0.1,0.6,2,2,2,84.0,90.0,inputs,11.5,-49.1,0,-0.03,-4.5,0.05,4.73,67
0.3,0.5,.TRUE.,0.3,0.4,2427.0,'LOGNORMAL',15.0,54.0,2.0,2.0,0.2,0.4,0.2,0.4,1,1,2,51.0,82.0,inputs,19.9,102.4,0,-0.05,-3.47,-5.15,0.01,69
0.4,0.6,.TRUE.,0.1,0.1,401.0,'LOGNORMAL',25.0,111.0,1.0,3.0,0.3,0.4,0.3,0.5,2,2,2,70.0,86.0,inputs,7.4,21.3,0,0.03,0.97,0.03,1.59,80
0.2,0.2,.TRUE.,0.4,0.4,2548.0,'LOGNORMAL',151.0,154.0,2.0,3.0,0.2,0.6,0.1,0.5,2,2,2,8.0,97.0,inputs,3.4,-182.5,1,0.03,0.92,-3.81,-0.03,81
0.3,0.4,.TRUE.,0.2,0.4,1081.0,'LOGNORMAL',3.0,65.0,1.0,2.0,0.2,0.6,0.2,0.6,2,2,2,10.0,64.0,inputs,6.0,-169.4,0,-0.06,-1.03,0.07,5.15,92
0.1,0.5,.TRUE.,0.4,0.4,543.0,'LOGNORMAL',60.0,99.0,1.0,3.0,0.1,0.4,0.1,0.1,2,2,2,9.0,78.0,inputs,6.4,-319.6,0,0.09,0.03,0.03,5.55,98
0.2,0.2,.TRUE.,0.4,0.4,2819.0,'LOGNORMAL',102.0,114.0,2.0,2.0,0.4,0.5,0.3,0.6,2,2,2,54.0,98.0,inputs,17.0,-313.6,0,-0.03,-4.72,-3.41,0.01,101
0.1,0.1,.TRUE.,0.4,0.5,1136.0,'LOGNORMAL',152.0,172.0,2.0,3.0,0.4,0.6,0.5,0.7,1,1,1,20.0,75.0,inputs,4.7,-90.2,1,0.08,2.25,-0.56,-0.06,103
0.5,0.6,.TRUE.,0.2,0.4,1714.0,'LOGNORMAL',5.0,116.0,1.0,3.0,0.1,0.5,0.2,0.2,1,1,2,67.0,77.0,inputs,17.2,104.8,1,-0.0,4.42,-5.35,0.07,106
0.5,0.6,.TRUE.,0.3,0.4,1675.0,'LOGNORMAL',18.0,165.0,2.0,3.0,0.2,0.3,0.4,0.4,1,1,2,62.0,81.0,inputs,11.7,179.2,0,0.0,-3.69,0.07,5.18,107
0.2,0.4,.TRUE.,0.2,0.4,2086.0,'LOGNORMAL',113.0,130.0,1.0,2.0,0.5,0.6,0.2,0.5,1,1,2,43.0,54.0,inputs,12.3,351.8,0,-0.01,-0.89,-0.09,0.16,110
0.2,0.3,.TRUE.,0.2,0.3,2380.0,'LOGNORMAL',84.0,171.0,1.0,3.0,0.4,0.5,0.1,0.7,1,1,1,24.0,48.0,inputs,16.0,319.0,0,-0.03,-4.77,0.02,1.91,112
0.1,0.5,.TRUE.,0.2,0.5,626.0,'LOGNORMAL',17.0,149.0,1.0,2.0,0.4,0.4,0.4,0.7,2,2,2,22.0,100.0,inputs,16.1,-80.3,1,-0.09,2.27,0.03,4.11,113
0.3,0.6,.TRUE.,0.2,0.4,846.0,'LOGNORMAL',74.0,149.0,1.0,2.0,0.2,0.6,0.4,0.5,1,1,1,57.0,59.0,inputs,5.2,260.3,0,-0.05,4.89,-0.07,6.35,122
0.3,0.6,.TRUE.,0.3,0.4,690.0,'LOGNORMAL',67.0,91.0,2.0,3.0,0.3,0.4,0.1,0.5,1,1,1,21.0,63.0,inputs,18.7,-91.4,1,0.06,-4.01,-0.09,2.79,123
0.3,0.5,.TRUE.,0.2,0.5,477.0,'LOGNORMAL',7.0,194.0,1.0,2.0,0.2,0.5,0.2,0.4,1,1,2,66.0,88.0,inputs,8.6,337.9,0,0.02,-1.47,-2.05,0.0,124
0.3,0.5,.TRUE.,0.4,0.4,2959.0,'LOGNORMAL',35.0,201.0,2.0,3.0,0.2,0.4,0.1,0.6,1,1,2,9.0,34.0,inputs,15.1,-134.2,1,0.04,-2.87,0.03,5.99,131
0.2,0.5,.TRUE.,0.1,0.4,2699.0,'LOGNORMAL',88.0,115.0,2.0,3.0,0.4,0.6,0.4,0.6,1,1,2,48.0,87.0,inputs,17.8,-132.0,0,0.01,-2.15,-4.82,-0.04,135
0.3,0.6,.TRUE.,0.3,0.3,1843.0,'LOGNORMAL',26.0,186.0,1.0,2.0,0.2,0.7,0.5,0.7,2,2,2,52.0,60.0,inputs,12.6,-15.6,1,-0.08,-0.81,-0.42,-0.0,136
0.4,0.6,.TRUE.,0.4,0.5,2336.0,'LOGNORMAL',22.0,133.0,2.0,2.0,0.1,0.6,0.1,0.6,1,1,2,21.0,81.0,inputs,7.2,38.8,0,0.09,-2.17,0.01,5.84,141
0.2,0.3,.TRUE.,0.2,0.2,1176.0,'LOGNORMAL',25.0,86.0,2.0,2.0,0.3,0.6,0.2,0.6,1,1,2,21.0,24.0,inputs,5.2,129.0,1,0.0,1.55,-1.69,-0.05,146
0.3,0.4,.TRUE.,0.1,0.2,799.0,'LOGNORMAL',103.0,150.0,2.0,2.0,0.3,0.6,0.3,0.5,1,1,2,2.0,79.0,inputs,16.6,-188.7,1,0.02,0.43,0.06,1.97,148
0.4,0.4,.TRUE.,0.4,0.4,1041.0,'LOGNORMAL',49.0,126.0,2.0,2.0,0.2,0.4,0.1,0.3,1,1,2,50.0,86.0,inputs,2.1,-283.1,0,-0.04,-0.67,-6.84,-0.06,152
0.4,0.4,.TRUE.,0.1,0.5,775.0,'LOGNORMAL',32.0,184.0,1.0,3.0,0.4,0.6,0.2,0.3,1,1,2,19.0,46.0,inputs,17.6,253.5,0,-0.0,4.04,-1.17,-0.08,156
0.2,0.6,.TRUE.,0.2,0.5,2805.0,'LOGNORMAL',30.0,49.0,1.0,3.0,0.1,0.7,0.2,0.6,2,2,2,9.0,63.0,inputs,17.5,-35.9,1,0.05,-0.03,-2.22,0.02,157
0.1,0.6,.TRUE.,0.3,0.3,2402.0,'LOGNORMAL',7.0,63.0,2.0,3.0,0.2,0.5,0.4,0.7,1,1,1,62.0,67.0,inputs,6.5,162.3,1,-0.07,1.38,0.04,3.14,159
0.4,0.5,.TRUE.,0.2,0.5,1243.0,'LOGNORMAL',40.0,130.0,1.0,2.0,0.3,0.6,0.3,0.4,1,1,2,83.0,98.0,inputs,11.2,177.8,0,-0.1,2.55,-1.33,0.05,164
0.4,0.6,.TRUE.,0.2,0.3,1162.0,'LOGNORMAL',21.0,87.0,1.0,2.0,0.1,0.6,0.2,0.4,1,1,1,14.0,47.0,inputs,16.1,-189.3,0,0.08,-4.33,-1.59,-0.06,165
0.1,0.2,.TRUE.,0.1,0.4,2284.0,'LOGNORMAL',61.0,87.0,1.0,3.0,0.1,0.7,0.5,0.6,1,1,2,14.0,57.0,inputs,16.7,-274.7,0,-0.08,-4.79,-0.05,5.7,170
0.3,0.6,.TRUE.,0.3,0.4,2770.0,'LOGNORMAL',168.0,180.0,1.0,2.0,0.3,0.5,0.1,0.2,2,2,2,11.0,31.0,inputs,15.3,109.1,1,-0.0,-0.42,-4.85,0.08,172
0.4,0.7,.TRUE.,0.3,0.5,2414.0,'LOGNORMAL',14.0,195.0,1.0,2.0,0.5,0.6,0.4,0.6,1,1,1,1.0,13.0,inputs,11.2,52.8,0,-0.03,1.7,0.04,3.31,174
0.3,0.7,.TRUE.,0.3,0.3,784.0,'LOGNORMAL',6.0,35.0,2.0,2.0,0.4,0.6,0.3,0.6,1,1,2,58.0,96.0,inputs,14.7,-308.8,0,0.03,1.48,-4.9,-0.08,175
0.2,0.3,.TRUE.,0.2,0.3,33.0,'LOGNORMAL',21.0,193.0,1.0,2.0,0.1,0.4,0.2,0.5,1,1,2,28.0,35.0,inputs,9.5,63.0,0,0.07,-3.08,-2.94,0.02,179
0.4,0.4,.TRUE.,0.3,0.3,1919.0,'LOGNORMAL',17.0,70.0,2.0,3.0,0.4,0.7,0.1,0.6,1,1,2,8.0,27.0,inputs,1.9,-141.0,0,0.1,-1.76,-0.34,0.1,182
0.1,0.3,.TRUE.,0.1,0.4,1930.0,'LOGNORMAL',24.0,47.0,1.0,2.0,0.1,0.4,0.1,0.7,1,1,2,29.0,82.0,inputs,19.0,-6.4,1,-0.05,-3.12,-0.37,-0.01,185
0.3,0.7,.TRUE.,0.3,0.3,834.0,'LOGNORMAL',10.0,189.0,2.0,2.0,0.5,0.6,0.6,0.7,1,1,2,41.0,80.0,inputs,17.7,-10.9,0,-0.07,-2.32,-2.55,0.01,186
0.1,0.3,.TRUE.,0.1,0.3,1097.0,'LOGNORMAL',16.0,28.0,2.0,2.0,0.2,0.6,0.1,0.3,1,1,1,6.0,45.0,inputs,5.1,-160.4,1,-0.06,4.55,-0.1,6.85,191
0.4,0.5,.TRUE.,0.1,0.2,1003.0,'LOGNORMAL',11.0,109.0,1.0,2.0,0.3,0.7,0.5,0.6,1,1,1,22.0,26.0,inputs,3.2,82.8,0,-0.05,1.89,-0.24,-0.03,193
0.1,0.3,.TRUE.,0.3,0.4,254.0,'LOGNORMAL',148.0,167.0,2.0,3.0,0.2,0.4,0.2,0.4,1,1,2,20.0,80.0,inputs,6.2,65.0,1,-0.02,1.22,-0.03,0.01,197
0.2,0.6,.TRUE.,0.2,0.2,1842.0,'LOGNORMAL',105.0,187.0,1.0,3.0,0.3,0.7,0.4,0.5,1,1,2,38.0,49.0,inputs,15.1,273.3,0,-0.1,4.54,-5.16,-0.08,200
0.2,0.3,.TRUE.,0.3,0.4,635.0,'LOGNORMAL',37.0,46.0,2.0,3.0,0.1,0.6,0.2,0.6,1,1,2,67.0,93.0,inputs,17.8,-199.7,1,0.05,0.43,0.09,5.63,204
0.3,0.4,.TRUE.,0.2,0.4,109.0,'LOGNORMAL',36.0,124.0,2.0,2.0,0.5,0.5,0.4,0.6,2,2,2,20.0,59.0,inputs,17.9,-324.1,0,-0.03,0.85,0.02,0.4,206
0.2,0.3,.TRUE.,0.3,0.4,2525.0,'LOGNORMAL',18.0,196.0,2.0,3.0,0.2,0.5,0.3,0.6,1,1,1,8.0,12.0,inputs,2.7,-330.4,1,0.07,-4.96,-0.92,-0.05,215
0.3,0.5,.TRUE.,0.3,0.4,2842.0,'LOGNORMAL',32.0,177.0,1.0,3.0,0.2,0.6,0.3,0.5,1,1,2,2.0,55.0,inputs,9.1,153.1,1,0.03,-4.93,-2.65,-0.07,222
0.4,0.6,.TRUE.,0.1,0.1,302.0,'LOGNORMAL',8.0,113.0,1.0,3.0,0.3,0.4,0.3,0.4,2,2,2,63.0,64.0,inputs,2.0,-124.5,0,-0.05,-2.82,-4.53,0.0,224
0.5,0.5,.TRUE.,0.2,0.5,2787.0,'LOGNORMAL',87.0,162.0,2.0,3.0,0.1,0.3,0.2,0.3,2,2,2,46.0,91.0,inputs,1.5,-47.1,0,-0.09,-1.32,-3.2,-0.02,227
0.1,0.2,.TRUE.,0.2,0.4,2948.0,'LOGNORMAL',21.0,93.0,1.0,2.0,0.1,0.5,0.5,0.6,1,1,2,41.0,54.0,inputs,15.6,59.9,0,-0.03,2.46,0.1,1.87,230
0.2,0.3,.TRUE.,0.2,0.3,2874.0,'LOGNORMAL',76.0,134.0,2.0,2.0,0.1,0.3,0.5,0.5,2,2,2,26.0,83.0,inputs,0.8,207.5,1,-0.03,3.62,0.05,1.24,232
0.1,0.3,.TRUE.,0.4,0.5,1286.0,'LOGNORMAL',81.0,122.0,2.0,3.0,0.2,0.3,0.5,0.6,1,1,1,88.0,89.0,inputs,1.6,175.3,1,-0.09,-4.65,-2.7,0.09,242
0.2,0.2,.TRUE.,0.1,0.2,2712.0,'LOGNORMAL',26.0,191.0,2.0,2.0,0.4,0.6,0.2,0.6,1,1,2,88.0,91.0,inputs,13.7,-24.2,1,-0.06,3.54,-4.67,0.06,244
0.5,0.7,.TRUE.,0.2,0.2,1495.0,'LOGNORMAL',16.0,77.0,2.0,2.0,0.1,0.4,0.4,0.5,1,1,1,26.0,96.0,inputs,3.9,298.5,1,-0.01,1.73,-5.21,-0.03,254
0.1,0.6,.TRUE.,0.3,0.4,2268.0,'LOGNORMAL',66.0,97.0,1.0,3.0,0.2,0.2,0.2,0.6,1,1,1,25.0,75.0,inputs,6.2,-72.8,1,0.06,3.13,0.08,4.01,271
0.2,0.7,.TRUE.,0.2,0.2,605.0,'LOGNORMAL',187.0,193.0,1.0,2.0,0.3,0.5,0.2,0.3,1,1,2,42.0,52.0,inputs,14.3,264.0,0,0.08,2.65,-6.17,0.04,276
0.5,0.5,.TRUE.,0.2,0.3,1308.0,'LOGNORMAL',67.0,199.0,1.0,2.0,0.4,0.7,0.6,0.7,1,1,2,50.0,56.0,inputs,13.5,76.2,0,-0.0,-0.77,-6.31,-0.09,277
0.2,0.3,.TRUE.,0.3,0.5,2909.0,'LOGNORMAL',125.0,144.0,1.0,3.0,0.4,0.6,0.4,0.5,1,1,2,19.0,77.0,inputs,10.7,108.6,1,0.08,2.97,-0.06,6.09,284
0.2,0.5,.TRUE.,0.2,0.5,437.0,'LOGNORMAL',81.0,198.0,2.0,2.0,0.5,0.5,0.5,0.7,1,1,2,10.0,87.0,inputs,4.1,-150.3,0,-0.06,-3.82,-1.04,-0.08,285
0.6,0.7,.TRUE.,0.4,0.4,1981.0,'LOGNORMAL',51.0,100.0,1.0,3.0,0.6,0.7,0.2,0.4,2,2,2,66.0,100.0,inputs,2.8,188.4,0,0.09,1.81,-0.08,6.68,286
0.5,0.7,.TRUE.,0.2,0.5,2686.0,'LOGNORMAL',14.0,16.0,1.0,3.0,0.2,0.5,0.2,0.7,2,2,2,50.0,68.0,inputs,19.0,-102.7,1,0.01,-3.16,0.02,4.31,288
0.3,0.5,.TRUE.,0.1,0.4,2316.0,'LOGNORMAL',23.0,79.0,2.0,2.0,0.4,0.5,0.1,0.4,1,1,2,4.0,65.0,inputs,19.1,73.3,1,0.06,-0.5,0.03,6.43,295
0.2,0.2,.TRUE.,0.3,0.4,52.0,'LOGNORMAL',38.0,86.0,2.0,2.0,0.6,0.6,0.2,0.3,1,1,2,6.0,22.0,inputs,10.9,-105.9,1,-0.0,-1.15,-0.02,6.96,297
0.4,0.5,.TRUE.,0.2,0.3,2782.0,'LOGNORMAL',56.0,188.0,1.0,2.0,0.4,0.5,0.1,0.1,1,1,2,3.0,24.0,inputs,9.4,-205.6,0,-0.03,-2.05,-0.6,-0.03,300
0.1,0.4,.TRUE.,0.1,0.3,2470.0,'LOGNORMAL',123.0,158.0,1.0,3.0,0.3,0.5,0.2,0.6,1,1,2,43.0,56.0,inputs,8.4,-175.5,1,-0.04,4.51,-0.67,-0.07,301
0.2,0.6,.TRUE.,0.4,0.5,701.0,'LOGNORMAL',18.0,146.0,2.0,2.0,0.2,0.6,0.2,0.4,1,1,1,59.0,89.0,inputs,6.6,251.6,1,0.06,-1.79,0.04,4.13,304
0.5,0.6,.TRUE.,0.3,0.4,2180.0,'LOGNORMAL',129.0,177.0,2.0,3.0,0.3,0.5,0.5,0.6,1,1,2,4.0,28.0,inputs,18.2,159.3,1,-0.06,-2.48,-2.63,-0.04,305
0.2,0.6,.TRUE.,0.3,0.4,2925.0,'LOGNORMAL',71.0,121.0,2.0,2.0,0.2,0.6,0.1,0.2,1,1,1,36.0,76.0,inputs,19.6,-94.0,1,0.05,3.29,-0.19,-0.04,307
0.3,0.5,.TRUE.,0.3,0.4,1531.0,'LOGNORMAL',90.0,108.0,2.0,3.0,0.5,0.5,0.3,0.7,1,1,2,14.0,34.0,inputs,8.4,-318.8,0,0.01,-3.54,0.08,5.29,314
0.2,0.6,.TRUE.,0.3,0.5,2033.0,'LOGNORMAL',56.0,152.0,2.0,2.0,0.1,0.4,0.3,0.3,2,2,2,43.0,79.0,inputs,4.9,-351.9,1,-0.08,2.79,-0.03,2.74,324
0.5,0.5,.TRUE.,0.5,0.5,2050.0,'LOGNORMAL',70.0,162.0,1.0,3.0,0.1,0.3,0.2,0.2,1,1,2,55.0,61.0,inputs,9.8,-196.5,1,0.01,3.02,-5.98,0.09,326
0.4,0.6,.TRUE.,0.1,0.4,1883.0,'LOGNORMAL',59.0,140.0,1.0,3.0,0.5,0.5,0.3,0.6,1,1,1,6.0,66.0,inputs,19.3,170.0,1,-0.04,3.82,-3.13,-0.08,333
0.4,0.6,.TRUE.,0.1,0.2,2932.0,'LOGNORMAL',13.0,47.0,2.0,2.0,0.3,0.4,0.1,0.1,1,1,1,35.0,88.0,inputs,1.7,-172.4,0,-0.08,0.27,-0.07,0.65,334
0.2,0.4,.TRUE.,0.2,0.3,2990.0,'LOGNORMAL',19.0,197.0,2.0,2.0,0.2,0.4,0.3,0.6,1,1,2,17.0,42.0,inputs,10.0,205.6,1,0.1,-4.9,-4.2,0.08,340
0.2,0.3,.TRUE.,0.4,0.4,1869.0,'LOGNORMAL',124.0,172.0,2.0,3.0,0.2,0.5,0.1,0.5,1,1,2,72.0,94.0,inputs,8.0,-79.3,0,0.01,-1.37,-5.41,0.06,349
0.4,0.6,.TRUE.,0.3,0.4,1241.0,'LOGNORMAL',127.0,173.0,2.0,3.0,0.5,0.5,0.5,0.5,1,1,1,41.0,68.0,inputs,18.3,214.7,0,-0.07,1.18,0.0,3.89,350
