Description,INPUTS,WIND_CONFIG,ENABLE_SPOTTING,CROWN_FIRE_MODEL,Wall clock time,Day 1 Fire Area,Day 2 Fire Area,Day 3 Fire Area,Day 4 Fire Area,Day 5 Fire Area,Day 6 Fire Area,Day 7 Fire Area,Day 8 Fire Area,Day 1 VIIRS Area,Day 2 VIIRS Area,Day 3 VIIRS Area,Day 4 VIIRS Area,Day 5 VIIRS Area,Day 6 VIIRS Area,Day 7 VIIRS Area,Day 8 VIIRS Area,Day 1 IOU,Day 2 IOU,Day 3 IOU,Day 4 IOU,Day 5 IOU,Day 6 IOU,Day 7 IOU,Day 8 IOU,Comments on anything interesting
inputs=inputs-wn_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347414.tif,inputs-wn,PERTURBED,low-v3-reduced,2,,0.0,77.5944,386.6301,756.3213,1364.9589,1868.4288,2235.9897,2390.5494,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.2588906284947439,0.1711740855762595,0.14370090726420265,0.1347735472738274,0.11313187625863265,0.12785580865051063,0.12257025154772042,None
inputs=inputs-wn_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347417.tif,inputs-wn,PERTURBED,medium-v3-reduced,0,,0.0,20.295,208.6263,535.599,1051.3386,1634.1435,2097.1188,2396.9925,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.31688804554079697,0.2119954734062618,0.1831713495703429,0.16131813982137358,0.12618992479553404,0.1331881601765726,0.1221087226860899,None
inputs=inputs-wn_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347424.tif,inputs-wn,PERTURBED,low-v3-reduced,0,,0.0,10.6299,31.3272,64.8162,118.9818,189.3348,264.3273,361.2915,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.24329692154915591,0.17775687749823654,0.3344106873518638,0.469993876301286,0.48350839114762995,0.4252670468235483,0.4080381471389646,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347438.tif,inputs-wn,ORIGINAL,NONE-v3-reduced,2,,0.0,18.6021,46.2636,73.0998,100.7577,153.0063,193.3281,232.0758,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.2424,0.18159344540189293,0.2637504020585397,0.3770752203320353,0.4942438854859029,0.4484079255554852,0.45354148597860655,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347443.tif,inputs-wn,ORIGINAL,NONE-v3-reduced,0,,0.0,4.9635,15.9633,28.0953,46.7001,65.3301,81.9099,106.9578,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.15245283018867925,0.10242984537347623,0.14928281883380107,0.2027479702492477,0.2741391641974047,0.289412125627948,0.36385622860544725,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347461.tif,inputs-wn,ORIGINAL,medium-v3-reduced,2,,0.0,64.1115,621.0459,1292.4423,1851.84,2395.1097,2740.2579,2872.359,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.2293193717277487,0.1392294459765721,0.1062022740141093,0.11481930189498708,0.10239033619298853,0.11496835040396972,0.11111195775581581,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347487.tif,inputs-wn,ORIGINAL,low-v3-reduced,2,,0.0,19.4139,51.4701,83.9763,113.6493,167.2011,212.7105,251.1882,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.23819408406850026,0.1602324338765696,0.2543054305430543,0.36363636363636365,0.4805162673704177,0.454133876211601,0.4702471003530005,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347423.tif,inputs-wn,ORIGINAL,medium-v3-reduced,0,,0.0,8.2143,71.982,210.1563,401.9463,676.3833,1106.523,1468.7208,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.1967098354917746,0.24657621100684757,0.2998340401991518,0.3575770925110132,0.25993390614672834,0.21311966573274815,0.17396400963122544,None
inputs=inputs-wn_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347499.tif,inputs-wn,ORIGINAL,low-v3-reduced,0,,0.0,4.0275,15.2631,26.8803,45.4968,64.7802,82.332,107.0082,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.13253937764118326,0.10228114963353373,0.15155103007340753,0.20619737671115185,0.27734114141881133,0.29294248722578664,0.3669861634281878,None
inputs=inputs-0.25deg_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347790.tif,inputs-0.25deg,PERTURBED,NONE-v3-reduced,2,,0.0,654.0471,1728.6858,1950.156,2525.5953,2614.0581,2712.2157,2772.9702,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.007092063006575929,0.06801616772370281,0.06566645426635,0.0736046574698512,0.08015825461722825,0.10637363008779267,0.10555784442979566,None
inputs=inputs-0.25deg_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347706.tif,inputs-0.25deg,PERTURBED,NONE-v3-reduced,0,,0.0,1.0215,5.3874,13.0149,24.5844,37.9233,56.3544,76.1589,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.033166216737369844,0.04085948735301582,0.09386733416770963,0.12942869132546012,0.17948580896894542,0.2167045543623109,0.24927460754408154,None
