Description,INPUTS,WIND_CONFIG,ENABLE_SPOTTING,CROWN_FIRE_MODEL,Wall clock time,Day 1 Fire Area,Day 2 Fire Area,Day 3 Fire Area,Day 4 Fire Area,Day 5 Fire Area,Day 6 Fire Area,Day 7 Fire Area,Day 8 Fire Area,Day 1 VIIRS Area,Day 2 VIIRS Area,Day 3 VIIRS Area,Day 4 VIIRS Area,Day 5 VIIRS Area,Day 6 VIIRS Area,Day 7 VIIRS Area,Day 8 VIIRS Area,Day 1 IOU,Day 2 IOU,Day 3 IOU,Day 4 IOU,Day 5 IOU,Day 6 IOU,Day 7 IOU,Day 8 IOU,Comments on anything interesting,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CC,CBH,CH,CBD,WS,WD,M1,M10,M100,Wall clock time (s),Fire volume (ac-ft),Nembers
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3826-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.094,8.796,19.354,39.288,47.714,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.039,0.092,0.137,0.169,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,3.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3825-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.006,3.48,15.145,22.248,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.0,0.016,0.056,0.083,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3824-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.706,6.595,18.479,25.483,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.069,0.096,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3823-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.721,6.605,18.61,25.691,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.097,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3822-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.642,6.321,17.989,25.164,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.032,0.068,0.095,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1868.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3821-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.612,6.202,18.099,25.191,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.031,0.068,0.095,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3820-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.777,6.646,18.567,25.406,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.096,None,.TRUE.,0.1,0.5,0.1,0.2,4289.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3819-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.602,6.365,18.379,25.564,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.002,0.032,0.069,0.097,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3818-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.612,6.202,18.099,25.191,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.031,0.068,0.095,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3817-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.107,10.541,22.215,41.448,49.742,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.05,0.108,0.146,0.177,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3816-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.596,10.652,19.47,33.817,49.589,65.735,86.205,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.087,0.082,0.141,0.177,0.23,0.246,0.318,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3815-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.399,10.909,19.499,32.824,49.498,65.601,85.626,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.078,0.082,0.137,0.169,0.228,0.246,0.317,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.03,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3814-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,2.592,7.403,13.178,19.724,27.5,34.616,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.017,0.056,0.07,0.092,0.106,0.13,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.09,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3813-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.386,10.612,19.184,32.684,49.232,65.407,85.782,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.077,0.08,0.138,0.169,0.227,0.246,0.317,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,-0.1,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3812-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.273,10.782,19.504,32.958,49.523,65.678,85.915,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.075,0.08,0.136,0.168,0.227,0.246,0.318,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,6.18,0.06,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3811-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,5.644,26.296,61.493,135.842,229.258,332.135,412.721,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.186,0.167,0.233,0.294,0.332,0.364,0.336,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,-4.18,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3810-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.377,10.504,19.254,33.377,49.468,65.664,86.03,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.078,0.08,0.138,0.173,0.229,0.246,0.318,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,-0.02,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3809-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,1.769,7.744,15.958,24.086,37.464,53.456,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.012,0.062,0.081,0.11,0.146,0.202,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,-8.4,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3808-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.268,10.549,18.948,32.016,49.1,64.856,84.133,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.074,0.078,0.131,0.163,0.224,0.244,0.311,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,3.8,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3807-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.584,11.208,20.183,34.306,50.223,66.155,86.383,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.086,0.083,0.14,0.176,0.23,0.248,0.318,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3806-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.47,10.907,19.41,32.679,49.36,65.599,85.734,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.082,0.082,0.137,0.168,0.226,0.246,0.317,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,73.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3805-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.594,10.768,19.562,33.854,49.763,65.821,86.083,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.086,0.082,0.141,0.176,0.23,0.247,0.318,None,.TRUE.,0.1,0.4,0.1,0.2,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3804-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.506,10.741,19.543,33.735,49.64,65.765,86.351,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.082,0.082,0.139,0.175,0.23,0.246,0.318,None,.TRUE.,0.1,0.5,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3803-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.423,10.653,19.408,33.566,49.573,65.674,85.937,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.079,0.082,0.139,0.175,0.23,0.246,0.317,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,2.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3802-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.408,10.609,19.231,32.803,49.237,65.321,85.472,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.078,0.081,0.138,0.17,0.227,0.245,0.315,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3801-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.607,10.674,19.44,33.759,49.6,65.715,86.18,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.087,0.082,0.142,0.176,0.23,0.246,0.318,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3800-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,2.414,10.553,19.129,32.526,49.199,65.434,85.883,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.08,0.08,0.138,0.17,0.227,0.245,0.317,None,.TRUE.,0.1,0.4,0.1,0.7,4289.0,1.0,1868.0,1.0,3.0,0.1,0.4,0.1,1.0,1.0,1.0,3.0,0.0,93.0,0.0,4.73,0.06,-5.3,4.4,47.8,0.05,-0.06,-0.0,,,
